architecture,board_slot_width,bus_interface,chip_package,display_connectors,double_float_performance,foundry,generation,half_float_performance,manufacturer,memory_type,name,pixel_rate,power_connectors,price,ray_tracing_cores,release_date,render_output_processors,shading_units,single_float_performance,streaming_multiprocessors,tensor_cores,texture_mapping_units,texture_rate
Rage 4,MXM Module,AGP 2x,,,,TSMC,Rage Mobility(Mx),,ATI,SDR,Rage Mobility-M1,0.166,,0,0,1999-02-01,2,0,,0,0,2,0.166
Rage 4,Single-slot,AGP 2x,,1x DB13W3,,TSMC,Rage Mobility(Mx),,ATI,SDR,Rage Mobility-M3,0.21,,0,0,1999-10-01,2,0,,0,0,2,0.21
Rage 4,Single-slot,AGP 4x,,1x DB13W3,,TSMC,Rage Mobility(Mx),,ATI,SDR,Rage Mobility-M4,0.21,,0,0,1999-10-01,2,0,,0,0,2,0.21
Rage 4,Single-slot,AGP 2x,,1x VGA,,TSMC,Rage Mobility,,ATI,SDR,Rage Mobility-P,0.075,,0,0,1999-02-01,1,0,,0,0,1,0.075
,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Velocity 100,0.143,None,0,0,1999-07-26,1,0,,0,0,2,0.286
,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Velocity 200,0.143,None,0,0,,1,0,,0,0,2,0.286
,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Voodoo3 1000 AGP,0.143,None,0,0,1999-03-01,1,0,,0,0,2,0.286
,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Voodoo3 2000 AGP,0.143,None,0,0,1999-04-03,1,0,,0,0,2,0.286
,Single-slot,PCI,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Voodoo3 2000 PCI,0.143,None,0,0,1999-04-03,1,0,,0,0,2,0.286
,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Voodoo3 3000 AGP,0.166,None,0,0,1999-04-03,1,0,,0,0,2,0.332
,Single-slot,PCI,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Voodoo3 3000 PCI,0.166,None,0,0,1999-04-03,1,0,,0,0,2,0.332
,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo3,,3dfx,SDR,Voodoo3 3500 TV AGP,0.183,None,0,0,1999-06-01,1,0,,0,0,2,0.366
G400,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G4xx),,Matrox,SDR,Marvel G400-TV,0.25,None,0,0,1999-05-20,2,0,,0,0,2,0.25
G200,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G2xx),,Matrox,SDR,Millennium G200A,0.084,None,0,0,1999-01-01,1,0,,0,0,1,0.084
